,year,mean,max,max_countries,minimum,min_countries,median,std,25%,75%,iqr
0,2000,71.14,79.17,Canada,58.36,Haiti,71.32,4.5,68.88,74.04,5.17
1,2001,71.37,79.4,Canada,58.49,Haiti,71.5,4.49,69.31,74.33,5.02
2,2002,71.67,79.53,Canada,58.86,Haiti,71.94,4.5,69.7,74.61,4.91
3,2003,71.81,79.72,Canada,59.51,Haiti,72.35,4.46,69.62,74.84,5.22
4,2004,72.06,79.99,Canada,58.48,Haiti,72.48,4.54,70.07,75.2,5.13
5,2005,72.41,80.11,Canada,60.42,Haiti,72.99,4.34,70.27,75.48,5.21
6,2006,72.68,80.54,Canada,60.76,Haiti,73.17,4.24,70.52,75.6,5.08
7,2007,72.92,80.54,Canada,61.1,Haiti,73.22,4.11,70.88,75.74,4.85
8,2008,73.17,80.72,Canada,61.33,Haiti,73.38,4.07,71.26,75.93,4.67
9,2009,73.5,81.07,Canada,61.74,Haiti,73.47,3.99,71.61,76.14,4.53
10,2010,73.13,81.32,Canada,46.02,Haiti,73.71,5.94,71.95,76.09,4.14
11,2011,73.89,81.48,Canada,61.62,Haiti,74.13,3.99,72.28,76.38,4.1
12,2012,74.06,81.66,Canada,62.29,Haiti,74.15,3.92,72.53,76.64,4.11
13,2013,74.22,81.74,Canada,62.6,Haiti,73.96,3.89,72.72,76.76,4.05
14,2014,74.36,81.78,Canada,62.99,Haiti,74.47,3.83,72.84,77.0,4.17
15,2015,74.48,81.82,Canada,63.24,Haiti,74.5,3.78,72.74,77.13,4.39
